,Country,Metric Scope,Metric Name,Value
0,Afghanistan,Import,Aircraft,0.5302598717555917
1,Afghanistan,Export,Aircraft,0.0
2,Afghanistan,Overall,Aircraft,0.53
3,Algeria,Import,Aircraft,6.8563066402216375
4,Algeria,Export,Aircraft,0.0
5,Algeria,Overall,Aircraft,6.856
6,Angola,Import,Aircraft,1.5582688334415185
7,Angola,Export,Aircraft,0.0
8,Angola,Overall,Aircraft,1.558
9,Antigua and Barbuda,Import,Aircraft,0.0006860422893958014
10,Antigua and Barbuda,Export,Aircraft,0.0
11,Antigua and Barbuda,Overall,Aircraft,0.001
12,Argentina,Import,Aircraft,0.40735666605901794
13,Argentina,Export,Aircraft,0.0014215098379703232
14,Argentina,Overall,Aircraft,0.409
15,Armenia,Import,Aircraft,0.3999372457440708
16,Armenia,Export,Aircraft,0.0015636608217673557
17,Armenia,Overall,Aircraft,0.402
18,Aruba,Import,Aircraft,0.0
19,Aruba,Export,Aircraft,0.006325718778967939
20,Aruba,Overall,Aircraft,0.006
21,Australia,Import,Aircraft,15.698426209533626
22,Australia,Export,Aircraft,0.1843129655912321
23,Australia,Overall,Aircraft,15.883
24,Austria,Import,Aircraft,1.3267803787177983
25,Austria,Export,Aircraft,0.05398183609692303
26,Austria,Overall,Aircraft,1.381
27,Azerbaijan,Import,Aircraft,0.4594704710794176
28,Azerbaijan,Export,Aircraft,0.0
29,Azerbaijan,Overall,Aircraft,0.459
30,Bahamas,Import,Aircraft,0.005335884473078454
31,Bahamas,Export,Aircraft,8.52905902782194e-05
32,Bahamas,Overall,Aircraft,0.005
33,Bahrain,Import,Aircraft,1.3407426097556867
34,Bahrain,Export,Aircraft,0.0
35,Bahrain,Overall,Aircraft,1.341
36,Bangladesh,Import,Aircraft,1.2959719981291906
37,Bangladesh,Export,Aircraft,0.0
38,Bangladesh,Overall,Aircraft,1.2959999999999998
39,Belarus,Import,Aircraft,1.12925101731917
40,Belarus,Export,Aircraft,0.5693289052054942
41,Belarus,Overall,Aircraft,1.699
42,Belgium,Import,Aircraft,3.177392158849813
43,Belgium,Export,Aircraft,0.17065225604833734
44,Belgium,Overall,Aircraft,3.3480000000000003
45,Belize,Import,Aircraft,0.0022359896839566854
46,Belize,Export,Aircraft,0.0
47,Belize,Overall,Aircraft,0.002
48,Benin,Import,Aircraft,0.009198048472640002
49,Benin,Export,Aircraft,0.0
50,Benin,Overall,Aircraft,0.009000000000000001
51,Bolivia,Import,Aircraft,0.08204557601700156
52,Bolivia,Export,Aircraft,0.0
53,Bolivia,Overall,Aircraft,0.082
54,Botswana,Import,Aircraft,0.1746993985459567
55,Botswana,Export,Aircraft,0.0
56,Botswana,Overall,Aircraft,0.17500000000000002
57,Brazil,Import,Aircraft,2.660014636750654
58,Brazil,Export,Aircraft,0.7509587709775574
59,Brazil,Overall,Aircraft,3.411
60,Brunei,Import,Aircraft,0.06987467762364642
61,Brunei,Export,Aircraft,0.0
62,Brunei,Overall,Aircraft,0.06999999999999999
63,Bulgaria,Import,Aircraft,0.8895046461490188
64,Bulgaria,Export,Aircraft,0.025231799623973237
65,Bulgaria,Overall,Aircraft,0.915
66,Burkina Faso,Import,Aircraft,0.04252191745569901
67,Burkina Faso,Export,Aircraft,0.0
68,Burkina Faso,Overall,Aircraft,0.043
69,Cabo Verde,Import,Aircraft,0.010277929854096354
70,Cabo Verde,Export,Aircraft,0.0
71,Cabo Verde,Overall,Aircraft,0.01
72,Cambodia,Import,Aircraft,0.030490768417591164
73,Cambodia,Export,Aircraft,0.0
74,Cambodia,Overall,Aircraft,0.03
75,Cameroon,Import,Aircraft,0.044719793679133715
76,Cameroon,Export,Aircraft,0.0
77,Cameroon,Overall,Aircraft,0.045
78,Canada,Import,Aircraft,12.189980532589818
79,Canada,Export,Aircraft,0.4465033476556684
80,Canada,Overall,Aircraft,12.636
81,Central African Republic,Import,Aircraft,0.12348761209124422
82,Central African Republic,Export,Aircraft,0.0
83,Central African Republic,Overall,Aircraft,0.123
84,Chad,Import,Aircraft,0.15181861774592267
85,Chad,Export,Aircraft,0.0
86,Chad,Overall,Aircraft,0.152
87,Chile,Import,Aircraft,1.6170016761059034
88,Chile,Export,Aircraft,0.009104770512199921
89,Chile,Overall,Aircraft,1.6260000000000001
90,China,Import,Aircraft,17.380373222369
91,China,Export,Aircraft,3.402664545374968
92,China,Overall,Aircraft,20.782999999999998
93,Colombia,Import,Aircraft,0.886519091741463
94,Colombia,Export,Aircraft,0.0015636608217673557
95,Colombia,Overall,Aircraft,0.8880000000000001
96,Comoros,Import,Aircraft,0.0013212666314289508
97,Comoros,Export,Aircraft,0.0
98,Comoros,Overall,Aircraft,0.001
99,Congo,Import,Aircraft,0.052037578099355594
100,Congo,Export,Aircraft,0.0
101,Congo,Overall,Aircraft,0.052
102,Cote d'Ivoire,Import,Aircraft,0.08397665801678232
103,Cote d'Ivoire,Export,Aircraft,0.0
104,Cote d'Ivoire,Overall,Aircraft,0.084
105,Croatia,Import,Aircraft,0.42210657528102763
106,Croatia,Export,Aircraft,0.0009595191406299681
